?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/L01BC02>	9
<http://purl.bioontology.org/ontology/ATC/N06AB04>	5
<http://purl.bioontology.org/ontology/ATC/C09AA03>	10
<http://purl.bioontology.org/ontology/ATC/N05AH02>	4
<http://purl.bioontology.org/ontology/ATC/L04AB04>	33
<http://purl.bioontology.org/ontology/ATC/C01CE03>	2
<http://purl.bioontology.org/ontology/ATC/G04CA02>	3
<http://purl.bioontology.org/ontology/ATC/N06AB03>	4
<http://purl.bioontology.org/ontology/ATC/C09AA04>	3
<http://purl.bioontology.org/ontology/ATC/J05AR09>	4
<http://purl.bioontology.org/ontology/ATC/M04AC01>	6
<http://purl.bioontology.org/ontology/ATC/B01AE07>	11
<http://purl.bioontology.org/ontology/ATC/H02AB02>	55
<http://purl.bioontology.org/ontology/ATC/C02CA04>	3
<http://purl.bioontology.org/ontology/ATC/M05BX05>	4
<http://purl.bioontology.org/ontology/ATC/J05AP57>	2
<http://purl.bioontology.org/ontology/ATC/J01CE01>	32
<http://purl.bioontology.org/ontology/ATC/L04AD01>	18
<http://purl.bioontology.org/ontology/ATC/B03AA07>	2
<http://purl.bioontology.org/ontology/ATC/N05AF03>	2
<http://purl.bioontology.org/ontology/ATC/J07AX01>	1
<http://purl.bioontology.org/ontology/ATC/J07BM03>	6
<http://purl.bioontology.org/ontology/ATC/L01EX07>	4
<http://purl.bioontology.org/ontology/ATC/C10BA02>	5
<http://purl.bioontology.org/ontology/ATC/N02BA01>	12
<http://purl.bioontology.org/ontology/ATC/A14AB01>	5
<http://purl.bioontology.org/ontology/ATC/C01CA02>	1
<http://purl.bioontology.org/ontology/ATC/M01AB16>	4
<http://purl.bioontology.org/ontology/ATC/C10BA05>	5
<http://purl.bioontology.org/ontology/ATC/C02AB01>	2
<http://purl.bioontology.org/ontology/ATC/M09AX03>	1
<http://purl.bioontology.org/ontology/ATC/G03BA03>	3
<http://purl.bioontology.org/ontology/ATC/N02BE01>	18
<http://purl.bioontology.org/ontology/ATC/C01CE02>	3
<http://purl.bioontology.org/ontology/ATC/B01AC04>	13
<http://purl.bioontology.org/ontology/ATC/L04AB05>	10
<http://purl.bioontology.org/ontology/ATC/A10BA02>	8
<http://purl.bioontology.org/ontology/ATC/A07AA12>	1
<http://purl.bioontology.org/ontology/ATC/L02BA01>	2
<http://purl.bioontology.org/ontology/ATC/G04CA03>	3
<http://purl.bioontology.org/ontology/ATC/C09AA05>	12
<http://purl.bioontology.org/ontology/ATC/G04CA04>	1
<http://purl.bioontology.org/ontology/ATC/L04AB02>	23
<http://purl.bioontology.org/ontology/ATC/C03CA02>	10
<http://purl.bioontology.org/ontology/ATC/N06AB05>	6
<http://purl.bioontology.org/ontology/ATC/N05AH03>	7
<http://purl.bioontology.org/ontology/ATC/C09AA02>	4
<http://purl.bioontology.org/ontology/ATC/A01AB09>	3
<http://purl.bioontology.org/ontology/ATC/L01XF03>	1
<http://purl.bioontology.org/ontology/ATC/A10BK02>	3
<http://purl.bioontology.org/ontology/ATC/D11AX10>	2
<http://purl.bioontology.org/ontology/ATC/L01DB03>	5
<http://purl.bioontology.org/ontology/ATC/L01EX01>	4
<http://purl.bioontology.org/ontology/ATC/A12BA03>	2
<http://purl.bioontology.org/ontology/ATC/N05AD01>	24
<http://purl.bioontology.org/ontology/ATC/J07BM02>	2
<http://purl.bioontology.org/ontology/ATC/M04AA03>	4
<http://purl.bioontology.org/ontology/ATC/C10BA03>	3
<http://purl.bioontology.org/ontology/ATC/J07AP03>	1
<http://purl.bioontology.org/ontology/ATC/N05AN01>	4
<http://purl.bioontology.org/ontology/ATC/B05BB02>	1
<http://purl.bioontology.org/ontology/ATC/L02BG04>	3
<http://purl.bioontology.org/ontology/ATC/H02AB04>	71
<http://purl.bioontology.org/ontology/ATC/J05AP56>	6
<http://purl.bioontology.org/ontology/ATC/N05AD08>	4
<http://purl.bioontology.org/ontology/ATC/J05AP51>	2
<http://purl.bioontology.org/ontology/ATC/N07XX07>	1
<http://purl.bioontology.org/ontology/ATC/L01XJ01>	1
<http://purl.bioontology.org/ontology/ATC/C09AA15>	4
<http://purl.bioontology.org/ontology/ATC/J05AR18>	3
<http://purl.bioontology.org/ontology/ATC/L01AA01>	13
<http://purl.bioontology.org/ontology/ATC/M03AB01>	3
<http://purl.bioontology.org/ontology/ATC/L01EC03>	4
<http://purl.bioontology.org/ontology/ATC/J01DC02>	10
<http://purl.bioontology.org/ontology/ATC/A10AE56>	2
<http://purl.bioontology.org/ontology/ATC/C03DA05>	4
<http://purl.bioontology.org/ontology/ATC/M05BA02>	5
<http://purl.bioontology.org/ontology/ATC/L01AA06>	8
<http://purl.bioontology.org/ontology/ATC/J05AG05>	2
<http://purl.bioontology.org/ontology/ATC/C09BA03>	2
<http://purl.bioontology.org/ontology/ATC/C01BD05>	2
<http://purl.bioontology.org/ontology/ATC/C07AG01>	6
<http://purl.bioontology.org/ontology/ATC/C09BA04>	1
<http://purl.bioontology.org/ontology/ATC/J01XE01>	2
<http://purl.bioontology.org/ontology/ATC/B01AC22>	2
<http://purl.bioontology.org/ontology/ATC/R03AC18>	1
