?o	?totalEdges
<http://snomed.info/id/225587003>	34
<http://snomed.info/id/70153002>	13
<http://snomed.info/id/125667009>	13
<http://snomed.info/id/444827008>	9
<http://snomed.info/id/1082661000119103>	1
<http://snomed.info/id/8520001000004106>	3
<http://snomed.info/id/416675009>	4
<http://snomed.info/id/6020002>	2
<http://snomed.info/id/72405004>	42
<http://snomed.info/id/62476001>	41
<http://snomed.info/id/261808007>	6
<http://snomed.info/id/422504002>	6
<http://snomed.info/id/280816001>	4
<http://snomed.info/id/21117005>	1
<http://snomed.info/id/89091004>	18
<http://snomed.info/id/41446000>	12
<http://snomed.info/id/473460002>	3
<http://snomed.info/id/349131000119103>	1
<http://snomed.info/id/45177002>	5
<http://snomed.info/id/49563000>	10
<http://snomed.info/id/409668002>	27
<http://snomed.info/id/88610006>	3
<http://snomed.info/id/3545003>	1
<http://snomed.info/id/63467002>	2
<http://snomed.info/id/726490008>	1
<http://snomed.info/id/29721000119101>	1
<http://snomed.info/id/385494008>	46
<http://snomed.info/id/443971004>	1
<http://snomed.info/id/439127006>	28
<http://snomed.info/id/16617009>	41
<http://snomed.info/id/56018004>	17
<http://snomed.info/id/2901004>	22
<http://snomed.info/id/102466009>	6
<http://snomed.info/id/713245008>	2
<http://snomed.info/id/43752006>	18
<http://snomed.info/id/33688009>	46
<http://snomed.info/id/80515008>	20
<http://snomed.info/id/450427002>	1
<http://snomed.info/id/1251377003>	4
<http://snomed.info/id/16046003>	15
<http://snomed.info/id/1074961000119109>	2
<http://snomed.info/id/249275009>	2
<http://snomed.info/id/48340000>	15
<http://snomed.info/id/66071002>	10
<http://snomed.info/id/711329002>	3
<http://snomed.info/id/30819006>	11
<http://snomed.info/id/2032001>	8
<http://snomed.info/id/423341008>	20
<http://snomed.info/id/3415004>	14
<http://snomed.info/id/355001>	2
<http://snomed.info/id/51875005>	19
<http://snomed.info/id/439955006>	2
<http://snomed.info/id/95549001>	5
<http://snomed.info/id/400190005>	6
<http://snomed.info/id/26636000>	7
<http://snomed.info/id/131104004>	1
<http://snomed.info/id/131128002>	1
<http://snomed.info/id/16227851000119101>	1
<http://snomed.info/id/236423003>	39
<http://snomed.info/id/4249000>	2
<http://snomed.info/id/771542000>	11
<http://snomed.info/id/399957001>	1
<http://snomed.info/id/266261006>	21
<http://snomed.info/id/21639008>	4
<http://snomed.info/id/38671000119103>	25
<http://snomed.info/id/737229001>	1
<http://snomed.info/id/225581002>	3
<http://snomed.info/id/762898005>	1
<http://snomed.info/id/69322001>	70
<http://snomed.info/id/166653007>	4
<http://snomed.info/id/5609005>	6
<http://snomed.info/id/49710005>	12
<http://snomed.info/id/284470004>	1
<http://snomed.info/id/274770006>	29
<http://snomed.info/id/127355002>	3
<http://snomed.info/id/1157018000>	4
<http://snomed.info/id/409675001>	5
<http://snomed.info/id/409674002>	6
<http://snomed.info/id/6631009>	12
<http://snomed.info/id/64936001>	16
<http://snomed.info/id/190905008>	2
<http://snomed.info/id/52448006>	9
<http://snomed.info/id/243978007>	17
<http://snomed.info/id/76349003>	4
<http://snomed.info/id/402179009>	6
<http://snomed.info/id/89458003>	6
<http://snomed.info/id/249419005>	1
<http://snomed.info/id/167244000>	1
<http://snomed.info/id/66520009>	2
<http://snomed.info/id/237793004>	2
<http://snomed.info/id/718217000>	33
<http://snomed.info/id/253714001>	1
<http://snomed.info/id/386689009>	10
<http://snomed.info/id/234440005>	1
<http://snomed.info/id/50715003>	10
<http://snomed.info/id/83414005>	3
<http://snomed.info/id/200936003>	22
<http://snomed.info/id/25786006>	13
<http://snomed.info/id/1855002>	1
<http://snomed.info/id/278849000>	1
<http://snomed.info/id/1186843008>	1
<http://snomed.info/id/397073000>	1
<http://snomed.info/id/64379006>	3
<http://snomed.info/id/276654001>	1
<http://snomed.info/id/5294002>	1
<http://snomed.info/id/74732009>	12
<http://snomed.info/id/395106006>	8
<http://snomed.info/id/304528007>	10
<http://snomed.info/id/422588002>	7
<http://snomed.info/id/77386006>	20
<http://snomed.info/id/59455009>	14
<http://snomed.info/id/1149155004>	9
<http://snomed.info/id/1137672001>	17
<http://snomed.info/id/306058006>	51
<http://snomed.info/id/267527002>	1
<http://snomed.info/id/192993002>	2
<http://snomed.info/id/193213003>	1
<http://snomed.info/id/608874000>	1
<http://snomed.info/id/37471005>	1
<http://snomed.info/id/419616000>	8
<http://snomed.info/id/39659002>	2
<http://snomed.info/id/43064006>	2
<http://snomed.info/id/166712009>	2
<http://snomed.info/id/863927004>	6
<http://snomed.info/id/52072009>	2
<http://snomed.info/id/719425009>	1
<http://snomed.info/id/242571000000102>	2
<http://snomed.info/id/1268429005>	9
<http://snomed.info/id/427504007>	2
<http://snomed.info/id/213340005>	37
<http://snomed.info/id/386033004>	23
<http://snomed.info/id/232067008>	2
<http://snomed.info/id/37231002>	2
<http://snomed.info/id/421843005>	2
<http://snomed.info/id/1240421004>	17
