?s	?totalEdges
<http://purl.bioontology.org/ontology/ATC/C01CA02>	6
<http://purl.bioontology.org/ontology/ATC/M01AB16>	13
<http://purl.bioontology.org/ontology/ATC/A12BA02>	9
<http://purl.bioontology.org/ontology/ATC/C10BA05>	2
<http://purl.bioontology.org/ontology/ATC/C02AB01>	1
<http://purl.bioontology.org/ontology/ATC/G03BA03>	4
<http://purl.bioontology.org/ontology/ATC/N02BE01>	1
<http://purl.bioontology.org/ontology/ATC/C01CE02>	1
<http://purl.bioontology.org/ontology/ATC/B01AC04>	4
<http://purl.bioontology.org/ontology/ATC/L04AB05>	4
<http://purl.bioontology.org/ontology/ATC/A10BA02>	15
<http://purl.bioontology.org/ontology/ATC/L02BA01>	1
<http://purl.bioontology.org/ontology/ATC/G04CA03>	2
<http://purl.bioontology.org/ontology/ATC/C09AA05>	6
<http://purl.bioontology.org/ontology/ATC/L04AB02>	6
<http://purl.bioontology.org/ontology/ATC/C03CA02>	4
<http://purl.bioontology.org/ontology/ATC/C09AA02>	2
<http://purl.bioontology.org/ontology/ATC/A01AB09>	3
<http://purl.bioontology.org/ontology/ATC/J02AB02>	3
<http://purl.bioontology.org/ontology/ATC/B01AA07>	10
<http://purl.bioontology.org/ontology/ATC/J05AR06>	6
<http://purl.bioontology.org/ontology/ATC/L01XF03>	4
<http://purl.bioontology.org/ontology/ATC/D11AX10>	2
<http://purl.bioontology.org/ontology/ATC/J05AR01>	1
<http://purl.bioontology.org/ontology/ATC/L01DB03>	9
<http://purl.bioontology.org/ontology/ATC/A12BA03>	7
<http://purl.bioontology.org/ontology/ATC/N05AD01>	10
<http://purl.bioontology.org/ontology/ATC/C10BA03>	10
<http://purl.bioontology.org/ontology/ATC/J07AP03>	1
<http://purl.bioontology.org/ontology/ATC/N05AN01>	3
<http://purl.bioontology.org/ontology/ATC/B05BB02>	7
<http://purl.bioontology.org/ontology/ATC/L02BG04>	3
<http://purl.bioontology.org/ontology/ATC/G03AA14>	30
<http://purl.bioontology.org/ontology/ATC/G04BD12>	1
<http://purl.bioontology.org/ontology/ATC/H02AB04>	12
<http://purl.bioontology.org/ontology/ATC/N05AD08>	8
<http://purl.bioontology.org/ontology/ATC/J05AP51>	1
<http://purl.bioontology.org/ontology/ATC/N07XX07>	2
<http://purl.bioontology.org/ontology/ATC/G03AA13>	26
<http://purl.bioontology.org/ontology/ATC/L01XJ01>	1
<http://purl.bioontology.org/ontology/ATC/C09AA15>	3
<http://purl.bioontology.org/ontology/ATC/J05AR18>	1
<http://purl.bioontology.org/ontology/ATC/L01AA01>	4
<http://purl.bioontology.org/ontology/ATC/M03AB01>	10
<http://purl.bioontology.org/ontology/ATC/J01DC02>	1
<http://purl.bioontology.org/ontology/ATC/J05AE08>	4
<http://purl.bioontology.org/ontology/ATC/C03DA05>	1
<http://purl.bioontology.org/ontology/ATC/L01AA06>	6
<http://purl.bioontology.org/ontology/ATC/C09BA03>	4
<http://purl.bioontology.org/ontology/ATC/C01BD05>	7
<http://purl.bioontology.org/ontology/ATC/C07AG01>	5
<http://purl.bioontology.org/ontology/ATC/C09BA04>	10
<http://purl.bioontology.org/ontology/ATC/J01XE01>	4
<http://purl.bioontology.org/ontology/ATC/B01AC22>	4
<http://purl.bioontology.org/ontology/ATC/C02KX01>	1
<http://purl.bioontology.org/ontology/ATC/C01EB17>	7
<http://purl.bioontology.org/ontology/ATC/C02DC01>	1
<http://purl.bioontology.org/ontology/ATC/L01EG02>	1
<http://purl.bioontology.org/ontology/ATC/L01CD01>	3
<http://purl.bioontology.org/ontology/ATC/J04AM02>	12
<http://purl.bioontology.org/ontology/ATC/N02AA01>	13
<http://purl.bioontology.org/ontology/ATC/B05XC>	1
<http://purl.bioontology.org/ontology/ATC/C10AA05>	3
<http://purl.bioontology.org/ontology/ATC/A10AE05>	1
<http://purl.bioontology.org/ontology/ATC/H02AB13>	6
<http://purl.bioontology.org/ontology/ATC/H05BX01>	1
<http://purl.bioontology.org/ontology/ATC/C09BA05>	8
<http://purl.bioontology.org/ontology/ATC/N01AX10>	1
<http://purl.bioontology.org/ontology/ATC/L01AA09>	4
<http://purl.bioontology.org/ontology/ATC/J05AR10>	5
<http://purl.bioontology.org/ontology/ATC/M01AB55>	18
<http://purl.bioontology.org/ontology/ATC/C09DB01>	12
<http://purl.bioontology.org/ontology/ATC/L03AX10>	2
<http://purl.bioontology.org/ontology/ATC/C09BA02>	5
<http://purl.bioontology.org/ontology/ATC/B01AC24>	3
<http://purl.bioontology.org/ontology/ATC/C03DA04>	2
<http://purl.bioontology.org/ontology/ATC/M05BA03>	1
<http://purl.bioontology.org/ontology/ATC/A10AC01>	1
<http://purl.bioontology.org/ontology/ATC/A07EC01>	2
<http://purl.bioontology.org/ontology/ATC/M05BA04>	6
<http://purl.bioontology.org/ontology/ATC/A10AE04>	1
